Artist,Album,Title,Work,note,Genre,GenreMelon,GenreBugs,GenreSource,CoverImageURL,MelonAlbumId,MelonAlbumURL,MelonReleaseDate,MelonLookupStatus
세븐틴 도겸X승관,소야곡,plelude of love,녹음,,"발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울",bugs,https://image.bugsm.co.kr/album/images/500/41379/4137972.jpg,4137972,https://music.bugs.co.kr/album/4137972,2026.01.12,found
세븐틴 도겸X승관,소야곡,dream serenade,녹음,,"발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울",bugs,https://image.bugsm.co.kr/album/images/500/41379/4137972.jpg,4137972,https://music.bugs.co.kr/album/4137972,2026.01.12,found
세븐틴 도겸X승관,소야곡,Silence,녹음,,"발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울",bugs,https://image.bugsm.co.kr/album/images/500/41379/4137972.jpg,4137972,https://music.bugs.co.kr/album/4137972,2026.01.12,found
세븐틴 도겸X승관,소야곡,Guilty Pleasure,녹음,,"발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울","발라드 , 댄스/팝 , 알앤비/소울",bugs,https://image.bugsm.co.kr/album/images/500/41379/4137972.jpg,4137972,https://music.bugs.co.kr/album/4137972,2026.01.12,found
Enhypen,THE SIN : VANISH,Big girls Don't Cry,녹음,,"댄스, 일렉트로니카, 랩/힙합, R&B/Soul","댄스, 일렉트로니카, 랩/힙합, R&B/Soul",,melon,https://cdnimg.melon.co.kr/cm2/album/images/127/19/962/12719962_20260116111022_500.jpg?312ceeb4e2904e1685721752e8e5b481,12719962,https://www.melon.com/album/detail.htm?albumId=12719962,2026.01.16,found
Enhypen,THE SIN : VANISH,Sleep Tight,녹음,,"댄스, 일렉트로니카, 랩/힙합, R&B/Soul","댄스, 일렉트로니카, 랩/힙합, R&B/Soul",,melon,https://cdnimg.melon.co.kr/cm2/album/images/127/19/962/12719962_20260116111022_500.jpg?312ceeb4e2904e1685721752e8e5b481,12719962,https://www.melon.com/album/detail.htm?albumId=12719962,2026.01.16,found
김동수,구멍,전곡,"튠, 믹싱",,"인디음악, 포크/블루스, 발라드","인디음악, 포크/블루스, 발라드",,melon,https://cdnimg.melon.co.kr/cm2/album/images/110/89/202/11089202_20221027164450_500.jpg?253347c0c031ddf29c084ddef792f819,11089202,https://www.melon.com/album/detail.htm?albumId=11089202,2022.10.28,found
colde,Love part.1,전곡,튠,,R&B/Soul,R&B/Soul,,melon,https://cdnimg.melon.co.kr/cm/album/images/102/92/745/10292745_500.jpg?dee04ab8f790eac7fc16416990531d4e,10292745,https://www.melon.com/album/detail.htm?albumId=10292745,2019.05.31,found
최유리,오랜만이야,오랜만이야,튠,,발라드,발라드,,melon,https://cdnimg.melon.co.kr/cm2/album/images/114/77/867/11477867_20240430115821_500.jpg?03cf1e9ae9038c5b5e4bf5cb38e68d4a,11477867,https://www.melon.com/album/detail.htm?albumId=11477867,2024.05.02,found
최유리,오랜만이야,마지막 날,튠,,발라드,발라드,,melon,https://cdnimg.melon.co.kr/cm2/album/images/114/77/867/11477867_20240430115821_500.jpg?03cf1e9ae9038c5b5e4bf5cb38e68d4a,11477867,https://www.melon.com/album/detail.htm?albumId=11477867,2024.05.02,found
